classifier,n,Lhat,trainTime,testTime,iterate
Lin. SVM, 1000, 0.517000000, 1.491107702, 0.000698090, 1
Lin. SVM, 1000, 0.485000000, 1.622084141, 0.001153946, 2
Lin. SVM, 1000, 0.498000000, 1.453245163, 0.000704050, 3
Lin. SVM, 1000, 0.500000000, 1.471100092, 0.000738859, 4
Lin. SVM, 1000, 0.502000000, 1.582198858, 0.000987291, 5
Lin. SVM, 1000, 0.493000000, 1.257058144, 0.001471043, 6
Lin. SVM, 1000, 0.500000000, 1.239120722, 0.000704050, 7
Lin. SVM, 1000, 0.485000000, 1.259979725, 0.000923157, 8
Lin. SVM, 1000, 0.460000000, 1.297728062, 0.001061201, 9
SVM, 1000, 0.502000000, 0.674300194, 0.684019089, 0
SVM, 1000, 0.477000000, 0.718952894, 0.739473820, 1
SVM, 1000, 0.524000000, 0.768689156, 0.742209911, 2
SVM, 1000, 0.489000000, 0.942770243, 0.689877987, 3
SVM, 1000, 0.485000000, 0.697865963, 0.663277864, 4
SVM, 1000, 0.478000000, 0.675989866, 0.738233089, 5
SVM, 1000, 0.504000000, 0.843093872, 0.714289904, 6
SVM, 1000, 0.498000000, 0.757972002, 0.718046904, 7
SVM, 1000, 0.500000000, 0.658321857, 0.713092804, 8
SVM, 1000, 0.486000000, 0.671688080, 0.675080061, 9
kNN, 1000, 0.472000000, 0.013347149, 0.211938143, 0
kNN, 1000, 0.501000000, 0.017174959, 0.210422039, 1
kNN, 1000, 0.500000000, 0.013796091, 0.221038103, 2
kNN, 1000, 0.497000000, 0.019306183, 0.330630302, 3
kNN, 1000, 0.482000000, 0.014659166, 0.249535084, 4
kNN, 1000, 0.499000000, 0.014493942, 0.211611986, 5
kNN, 1000, 0.515000000, 0.016216993, 0.227262020, 6
kNN, 1000, 0.487000000, 0.011282921, 0.214169741, 7
kNN, 1000, 0.475000000, 0.016300201, 0.221742153, 8
kNN, 1000, 0.491000000, 0.016766071, 0.217119932, 9
RF, 1000, 0.478000000, 0.315590143, 0.019405842, 0
RF, 1000, 0.514000000, 0.307201147, 0.023318052, 1
RF, 1000, 0.512000000, 0.320584297, 0.022382021, 2
RF, 1000, 0.514000000, 0.454432964, 0.026834965, 3
RF, 1000, 0.471000000, 0.305573940, 0.020565033, 4
RF, 1000, 0.505000000, 0.310306072, 0.023748159, 5
RF, 1000, 0.492000000, 0.309360027, 0.021715164, 6
RF, 1000, 0.494000000, 0.314932108, 0.019533873, 7
RF, 1000, 0.497000000, 0.296851158, 0.019649982, 8
RF, 1000, 0.488000000, 0.332487822, 0.023350000, 9
MLP, 1000, 0.499000000, 1.117367029, 0.003726959, 0
MLP, 1000, 0.488000000, 0.971585035, 0.002804995, 1
MLP, 1000, 0.498000000, 2.032810926, 0.002723932, 2
MLP, 1000, 0.476000000, 3.344489098, 0.002787113, 3
MLP, 1000, 0.477000000, 8.011523724, 0.002674818, 4
MLP, 1000, 0.514000000, 3.232578993, 0.002862215, 5
MLP, 1000, 0.472000000, 2.103682041, 0.003327131, 6
MLP, 1000, 0.512000000, 1.081122875, 0.002703190, 7
MLP, 1000, 0.487000000, 1.268631220, 0.003031015, 8
MLP, 1000, 0.508000000, 1.379141092, 0.002897978, 9
S-RerF, 1000, 0.462000000, 1.520531893, 0.056784868, 0
S-RerF, 1000, 0.498000000, 1.855880976, 0.078016043, 1
S-RerF, 1000, 0.500000000, 1.580255985, 0.015083075, 2
S-RerF, 1000, 0.491000000, 1.575767994, 0.016386986, 3
S-RerF, 1000, 0.482000000, 1.656391144, 0.021734238, 4
S-RerF, 1000, 0.494000000, 1.877433777, 0.012273073, 5
S-RerF, 1000, 0.517000000, 1.770449877, 0.016943216, 6
S-RerF, 1000, 0.490000000, 1.827965260, 0.021364927, 7
S-RerF, 1000, 0.487000000, 1.582213163, 0.012525797, 8
S-RerF, 1000, 0.494000000, 1.577555895, 0.020380020, 9
MT-MORF, 1000, 0.470000000, 1.578078985, 0.011471033, 0
MT-MORF, 1000, 0.517000000, 1.685270071, 0.018278837, 1
MT-MORF, 1000, 0.480000000, 1.619242907, 0.011382103, 2
MT-MORF, 1000, 0.502000000, 1.587474108, 0.011854649, 3
MT-MORF, 1000, 0.499000000, 1.578561068, 0.015023708, 4
MT-MORF, 1000, 0.489000000, 1.514306068, 0.013595819, 5
MT-MORF, 1000, 0.516000000, 1.552445173, 0.016370058, 6
MT-MORF, 1000, 0.487000000, 1.564462185, 0.010978937, 7
MT-MORF, 1000, 0.481000000, 1.564189196, 0.012263060, 8
MT-MORF, 1000, 0.488000000, 1.689711094, 0.013204098, 9
