classifier,n,Lhat,trainTime,testTime,iterate
SVM, 12.0, 0.536000000, 0.687910795, 0.753831863, 8
kNN, 12.0, 0.484000000, 0.038717031, 0.140146017, 8
RF, 12.0, 0.488000000, 1.933752775, 0.144030094, 8
MLP, 12.0, 0.410000000, 9.787518024, 0.014932156, 8
S-RerF, 12.0, 0.376000000, 8.245290041, 0.134789705, 8
MT-MORF, 12.0, 0.310000000, 8.559947014, 0.230067968, 8
Log. Reg, 12.0, 0.484000000, 0.338764906, 0.002030134, 9
Lin. SVM, 12.0, 0.492000000, 0.312638760, 0.001506805, 9
SVM, 12.0, 0.500000000, 0.665423155, 0.650705338, 9
kNN, 12.0, 0.424000000, 0.033426046, 0.140334845, 9
RF, 12.0, 0.496000000, 1.807001114, 0.144371986, 9
MLP, 12.0, 0.436000000, 9.218319893, 0.024054050, 9
S-RerF, 12.0, 0.384000000, 7.916559935, 0.205744982, 9
MT-MORF, 12.0, 0.388000000, 8.324849129, 0.226676941, 9
Log. Reg, 15.0, 0.472000000, 0.384949923, 0.004842043, 0
Lin. SVM, 15.0, 0.476000000, 0.377217054, 0.001641989, 0
SVM, 15.0, 0.496000000, 0.813986778, 0.786628008, 0
kNN, 15.0, 0.372000000, 0.033794880, 0.162721872, 0
RF, 15.0, 0.492000000, 1.921064854, 0.142248154, 0
MLP, 15.0, 0.422000000, 13.187551022, 0.019141912, 0
S-RerF, 15.0, 0.344000000, 8.893237114, 0.219153881, 0
MT-MORF, 15.0, 0.358000000, 9.048156261, 0.314486027, 0
Log. Reg, 15.0, 0.478000000, 0.362613916, 0.001767874, 1
Lin. SVM, 15.0, 0.492000000, 0.344395161, 0.001845837, 1
SVM, 15.0, 0.500000000, 0.802415848, 0.851534128, 1
kNN, 15.0, 0.466000000, 0.033013582, 0.169361115, 1
RF, 15.0, 0.464000000, 1.851064920, 0.140205145, 1
MLP, 15.0, 0.434000000, 13.525683880, 0.021596193, 1
S-RerF, 15.0, 0.348000000, 8.748821974, 0.263035297, 1
MT-MORF, 15.0, 0.288000000, 9.383181095, 0.224461079, 1
Log. Reg, 15.0, 0.520000000, 0.270002127, 0.001492262, 2
Lin. SVM, 15.0, 0.524000000, 0.306018114, 0.001398087, 2
SVM, 15.0, 0.534000000, 0.669183016, 0.656044960, 2
kNN, 15.0, 0.426000000, 0.026732683, 0.243676186, 2
RF, 15.0, 0.510000000, 1.749063969, 0.129859924, 2
MLP, 15.0, 0.470000000, 12.764810801, 0.021450996, 2
S-RerF, 15.0, 0.370000000, 8.484554052, 0.244672060, 2
MT-MORF, 15.0, 0.388000000, 9.090337038, 0.250780106, 2
Log. Reg, 15.0, 0.496000000, 0.402630806, 0.001593113, 3
Lin. SVM, 15.0, 0.512000000, 0.367098808, 0.001839161, 3
SVM, 15.0, 0.526000000, 0.822097063, 0.782461882, 3
kNN, 15.0, 0.466000000, 0.032420874, 0.159530878, 3
RF, 15.0, 0.488000000, 1.830932140, 0.136968851, 3
MLP, 15.0, 0.456000000, 14.693108082, 0.024800062, 3
S-RerF, 15.0, 0.384000000, 8.881896019, 0.260726929, 3
MT-MORF, 15.0, 0.368000000, 8.882244110, 0.208170176, 3
Log. Reg, 15.0, 0.500000000, 0.355150700, 0.002276182, 4
Lin. SVM, 15.0, 0.492000000, 0.341528893, 0.001572847, 4
SVM, 15.0, 0.480000000, 0.809338093, 0.789739132, 4
kNN, 15.0, 0.428000000, 0.031803131, 0.173718691, 4
RF, 15.0, 0.474000000, 1.879442930, 0.144140005, 4
MLP, 15.0, 0.460000000, 15.125637293, 0.019201040, 4
S-RerF, 15.0, 0.436000000, 8.638963938, 0.285240173, 4
MT-MORF, 15.0, 0.374000000, 9.148246050, 0.257802963, 4
Log. Reg, 15.0, 0.512000000, 0.384741783, 0.001523972, 5
Lin. SVM, 15.0, 0.512000000, 0.399538994, 0.001941919, 5
SVM, 15.0, 0.508000000, 0.811450243, 0.787439823, 5
kNN, 15.0, 0.402000000, 0.034260035, 0.168119669, 5
RF, 15.0, 0.484000000, 1.973170996, 0.133126020, 5
MLP, 15.0, 0.456000000, 11.701818943, 0.017954111, 5
S-RerF, 15.0, 0.358000000, 8.747161865, 0.210504055, 5
MT-MORF, 15.0, 0.354000000, 9.204281092, 0.245393753, 5
Log. Reg, 15.0, 0.480000000, 0.389863014, 0.001778126, 6
Lin. SVM, 15.0, 0.486000000, 0.345130920, 0.001451015, 6
SVM, 15.0, 0.526000000, 0.806904078, 0.828615189, 6
kNN, 15.0, 0.438000000, 0.032683134, 0.172305822, 6
RF, 15.0, 0.508000000, 1.836923122, 0.151909113, 6
MLP, 15.0, 0.460000000, 14.023548126, 0.018244982, 6
S-RerF, 15.0, 0.346000000, 8.899326801, 0.158200979, 6
MT-MORF, 15.0, 0.376000000, 9.202214956, 0.217826128, 6
Log. Reg, 15.0, 0.512000000, 0.371664762, 0.001846790, 7
Lin. SVM, 15.0, 0.520000000, 0.384625912, 0.001627684, 7
SVM, 15.0, 0.532000000, 0.807751179, 0.835073948, 7
kNN, 15.0, 0.448000000, 0.033377886, 0.187108994, 7
RF, 15.0, 0.468000000, 1.967922926, 0.135567904, 7
MLP, 15.0, 0.478000000, 14.227472067, 0.017757177, 7
S-RerF, 15.0, 0.416000000, 9.066941977, 0.246479034, 7
MT-MORF, 15.0, 0.376000000, 9.472107887, 0.240197897, 7
Log. Reg, 15.0, 0.474000000, 0.386294842, 0.001705885, 8
Lin. SVM, 15.0, 0.472000000, 0.378548861, 0.001770973, 8
SVM, 15.0, 0.484000000, 0.846375942, 0.797721863, 8
kNN, 15.0, 0.404000000, 0.033442259, 0.185507774, 8
RF, 15.0, 0.492000000, 1.897902966, 0.138118029, 8
MLP, 15.0, 0.420000000, 11.447016954, 0.017034054, 8
S-RerF, 15.0, 0.314000000, 9.584731817, 0.317698002, 8
MT-MORF, 15.0, 0.354000000, 9.344693184, 0.235666990, 8
Log. Reg, 15.0, 0.488000000, 0.432219028, 0.002282858, 9
Lin. SVM, 15.0, 0.492000000, 0.375370979, 0.002088308, 9
SVM, 15.0, 0.514000000, 0.807661057, 0.781343222, 9
kNN, 15.0, 0.420000000, 0.034530878, 0.175163984, 9
RF, 15.0, 0.488000000, 1.875218868, 0.140806198, 9
MLP, 15.0, 0.436000000, 14.981791019, 0.017468929, 9
S-RerF, 15.0, 0.486000000, 8.608489990, 0.209067106, 9
MT-MORF, 15.0, 0.374000000, 9.072315931, 0.229821920, 9
Log. Reg, 18.0, 0.544000000, 0.451320887, 0.002434969, 0
Lin. SVM, 18.0, 0.540000000, 0.394457102, 0.002009153, 0
SVM, 18.0, 0.524000000, 0.924952745, 0.926805973, 0
